Strain,Value,Country
HCOV-19_USA_20200324_EPI_ISL_418943,0.000753768812894,Algeria
HCOV-19_USA_20200313_EPI_ISL_416728,0.001260726051558,Algeria
HCOV-19_USA_20200313_EPI_ISL_416710,0.00224682269059,China
HCOV-19_USA_20200324_EPI_ISL_418908,0.002980291069846,Australia
HCOV-19_USA_20200312_EPI_ISL_416665,0.003121124516715,Australia
HCOV-19_USA_20200314_EPI_ISL_416714,0.003653471768239,Australia
HCOV-19_USA_20200304_EPI_ISL_417116,0.003908173333508,Australia
HCOV-19_USA_20200313_EPI_ISL_416721,0.004177743706223,Australia
HCOV-19_USA_20200303_EPI_ISL_417105,0.004925521790156,Australia
HCOV-19_USA_20200315_EPI_ISL_416711,0.005502665384391,Australia
HCOV-19_USA_20200304_EPI_ISL_417121,0.005907166577764,Australia
HCOV-19_USA_20200304_EPI_ISL_417120,0.006190111416869,Australia
HCOV-19_USA_20200308_EPI_ISL_417165,0.006508169054837,Australia
HCOV-19_USA_20200302_EPI_ISL_417088,0.00652572388175,Australia
HCOV-19_USA_20200317_EPI_ISL_418958,0.006599120645096,Australia
HCOV-19_USA_20200317_EPI_ISL_418957,0.007781290940415,Australia
HCOV-19_USA_20200317_EPI_ISL_418956,0.00815635444657,Australia
HCOV-19_USA_20200301_EPI_ISL_413486,0.008255121892513,Australia
HCOV-19_USA_20200224_EPI_ISL_412970,0.009184326492013,Australia
HCOV-19_USA_20200229_EPI_ISL_417101,0.010562108313004,Australia
HCOV-19_USA_20200228_EPI_ISL_417095,0.010674165029908,Australia
HCOV-19_USA_20200229_EPI_ISL_417100,0.011356415758751,Australia
HCOV-19_USA_20200312_EPI_ISL_417347,0.011797839596673,Australia
HCOV-19_USA_20200226_EPI_ISL_417134,0.012270226302585,Australia
HCOV-19_USA_20200229_EPI_ISL_417168,0.012418126932378,Australia
HCOV-19_USA_20200303_EPI_ISL_417070,0.012800645558711,Australia
HCOV-19_USA_20200303_EPI_ISL_417104,0.012805483385723,Australia
HCOV-19_USA_20200305_EPI_ISL_417129,0.013856497803172,Australia
HCOV-19_USA_20200305_EPI_ISL_417114,0.014431144676499,Australia
HCOV-19_USA_20200322_EPI_ISL_418882,0.015280698759236,Australia
HCOV-19_USA_20200313_EPI_ISL_416726,0.015478684792271,Australia
HCOV-19_USA_20200312_EPI_ISL_417351,0.016416098409168,Australia
HCOV-19_USA_20200310_EPI_ISL_419263,0.016924058071577,Australia
HCOV-19_USA_20200311_EPI_ISL_416651,0.017819193479343,Australia
HCOV-19_USA_20200304_EPI_ISL_414597,0.018043265390246,Australia
HCOV-19_USA_20200310_EPI_ISL_416440,0.018906171353041,Australia
HCOV-19_USA_20200306_EPI_ISL_416454,0.020684869014741,Australia
HCOV-19_USA_20200309_EPI_ISL_415595,0.020717436509547,Australia
HCOV-19_USA_20200305_EPI_ISL_414366,0.021027908128124,Australia
HCOV-19_USA_20200310_EPI_ISL_416437,0.023005185586625,Australia
HCOV-19_USA_20200313_EPI_ISL_418061,0.023463619670226,Australia
HCOV-19_USA_20200324_EPI_ISL_418917,0.023473325066386,Australia
HCOV-19_USA_20200316_EPI_ISL_418040,0.023896022702321,Australia
HCOV-19_USA_20200313_EPI_ISL_416709,0.023976038181589,Australia
HCOV-19_USA_20200311_EPI_ISL_416681,0.02516478252766,Australia
HCOV-19_USA_20200302_EPI_ISL_417082,0.025622861026535,Australia
HCOV-19_USA_20200308_EPI_ISL_414620,0.025718763621906,Australia
HCOV-19_USA_20200229_EPI_ISL_417098,0.025953288369471,Australia
HCOV-19_USA_20200305_EPI_ISL_417136,0.028863762279474,Australia
HCOV-19_USA_20200314_EPI_ISL_416688,0.029582884208635,Australia
HCOV-19_USA_20200312_EPI_ISL_416636,0.029856572878652,Australia
HCOV-19_USA_20200314_EPI_ISL_416686,0.03018606785684,Australia
HCOV-19_CANADA_20200309_EPI_ISL_418823,0.031264489957459,Australia
HCOV-19_CANADA_20200309_EPI_ISL_418820,0.032529987219971,Australia
HCOV-19_CANADA_20200313_EPI_ISL_418817,0.033603520714057,Australia
HCOV-19_USA_20200324_EPI_ISL_418921,0.033672418584636,Australia
HCOV-19_USA_20200222_EPI_ISL_417135,0.035051171055645,Australia
HCOV-19_USA_20200315_EPI_ISL_416717,0.035089681415702,Australia
HCOV-19_USA_20200323_EPI_ISL_418910,0.03539726285065,Australia
HCOV-19_USA_20200305_EPI_ISL_417157,0.035544498696062,Australia
HCOV-19_USA_20200305_EPI_ISL_417167,0.03654329043566,Australia
HCOV-19_USA_20200315_EPI_ISL_416685,0.036794756238273,Australia
HCOV-19_USA_20200229_EPI_ISL_417161,0.036901164937299,Australia
HCOV-19_USA_20200302_EPI_ISL_417144,0.037154237292831,Australia
HCOV-19_USA_20200303_EPI_ISL_417118,0.038066283420583,Australia
HCOV-19_USA_20200310_EPI_ISL_415598,0.040628831707969,Australia
HCOV-19_USA_20200311_EPI_ISL_416448,0.040792259298252,Australia
HCOV-19_USA_20200311_EPI_ISL_416643,0.042260976048464,Australia
HCOV-19_USA_20200302_EPI_ISL_417169,0.042705312122706,Australia
HCOV-19_USA_20200306_EPI_ISL_417125,0.042969277252827,Australia
HCOV-19_USA_20200302_EPI_ISL_417170,0.043816938713068,Australia
HCOV-19_USA_20200324_EPI_ISL_418936,0.043841163536332,Australia
HCOV-19_USA_20200229_EPI_ISL_417108,0.045235882685441,Australia
HCOV-19_CANADA_20200306_EPI_ISL_418818,0.046319847546256,Australia
HCOV-19_USA_20200229_EPI_ISL_416465,0.04798325610851,China
HCOV-19_USA_20200303_EPI_ISL_417117,0.048415005176023,China
HCOV-19_USA_20200302_EPI_ISL_417175,0.049603867327144,China
HCOV-19_USA_20200301_EPI_ISL_417141,0.050438154507329,China
HCOV-19_USA_20200303_EPI_ISL_416466,0.05102294815198,China
