country	input	fmsan	fmsao	fmsao-outgroups	smsan	smsao	thin-smet	thin-ssst
Algeria	3	3	3	0	2	3	1	0
Argentina	26	15	15	0	12	12	0	4
Australia	1019	279	279	0	183	184	17	17
Austria	18	12	12	0	6	6	0	0
bat	1	0	0	1	0	0	0	0
Beijing	27	10	10	0	7	7	2	5
Belarus	2	2	2	0	0	2	0	0
Belgium	348	210	210	0	144	142	10	27
Brazil	83	21	21	0	12	13	0	1
Brunei	4	3	3	0	1	1	0	0
Cambodia	1	1	1	0	0	0	0	0
Canada	129	53	53	0	27	28	3	5
Chile	7	4	4	0	2	2	0	0
China	19	10	10	0	10	10	3	4
Chongqing	3	1	1	0	0	0	0	0
Colombia	1	1	1	0	1	1	0	0
CostaRica	5	3	3	0	1	1	0	0
CzechRepublic	29	11	11	0	9	9	0	0
Denmark	270	118	118	0	58	59	11	3
DRC	38	7	7	0	3	4	0	1
Egypt	2	1	1	0	0	0	0	0
England	1641	695	695	0	439	431	42	67
env	8	1	1	0	0	0	0	0
Estonia	4	1	1	0	1	1	1	0
Finland	33	9	9	0	6	5	2	0
Foshan	3	2	2	0	1	1	1	0
France	234	137	137	0	70	73	9	2
Fujian	9	6	6	0	5	4	1	1
Fuyang	1	1	1	0	1	1	0	0
Gambia	3	1	1	0	0	0	0	0
Ganzhou	1	0	0	0	0	0	0	0
Georgia	13	7	7	0	3	3	0	2
Germany	63	24	24	0	13	13	3	3
Ghana	9	0	0	0	0	0	0	0
Greece	37	16	16	0	8	8	0	1
Guangdong	85	21	21	0	13	12	7	2
Guangzhou	38	10	10	0	8	7	5	2
Hangzhou	43	13	13	0	7	6	5	2
Hefei	1	0	0	0	0	0	0	0
HongKong	49	24	24	0	19	19	3	15
Hungary	32	16	16	0	7	8	1	0
Iceland	517	134	134	0	92	85	12	15
India	102	54	54	0	38	39	3	5
Indonesia	3	3	3	0	2	3	1	0
Ireland	10	4	4	0	2	2	0	0
Israel	7	1	1	0	1	1	1	0
Italy	57	27	27	0	21	19	3	2
Japan	99	39	39	0	27	28	18	4
Jian	2	2	2	0	2	2	1	1
Jiangsu	4	2	2	0	2	2	1	0
Jiangxi	1	0	0	0	0	0	0	0
Jingzhou	1	1	1	0	1	1	1	0
Jiujiang	1	0	0	0	0	0	0	0
Jordan	21	13	13	0	7	7	0	0
Kazakhstan	4	4	4	0	2	3	0	0
Korea	23	11	11	0	7	7	0	6
Kuwait	8	4	4	0	2	2	0	0
Latvia	10	7	7	0	4	5	1	0
Lishui	3	0	0	0	0	0	0	0
Lithuania	1	0	0	0	0	0	0	0
Luxembourg	172	58	58	0	25	28	2	0
Malaysia	12	6	6	0	3	3	1	0
Mexico	16	7	7	0	3	2	0	2
mink	1	1	1	0	1	1	0	0
Nanchang	9	8	8	0	3	3	1	0
NanChang	1	8	8	0	3	3	1	0
Nepal	1	1	1	0	1	1	1	0
Netherlands	505	192	192	0	108	105	17	8
NewZealand	1	3	3	0	2	3	0	1
NewZealand	4	3	3	0	2	3	0	1
Norway	24	10	10	0	4	4	1	0
Pakistan	1	1	1	0	1	1	0	0
Panama	1	0	0	0	0	0	0	0
pangolin	3	0	0	1	0	0	0	0
Peru	1	1	1	0	0	0	0	0
Philippines	2	2	2	0	2	2	0	0
Pingxiang	2	2	2	0	1	1	1	0
Poland	10	5	5	0	4	4	2	0
Portugal	99	32	32	0	14	13	3	2
PuertoRico	7	5	5	0	2	4	0	1
Qatar	10	2	2	0	1	1	1	1
Russia	150	57	57	0	34	33	3	6
SaudiArabia	3	1	1	0	0	0	0	0
Scotland	705	329	329	0	187	185	28	15
Senegal	19	5	5	0	1	2	0	0
Shandong	8	3	3	0	1	1	0	0
Shanghai	77	42	42	0	27	27	10	2
Shangrao	8	5	5	0	4	4	1	0
Shenzhen	5	4	4	0	2	3	1	1
Sichuan	1	1	1	0	0	0	0	0
Singapore	97	72	72	0	31	32	7	8
Slovakia	4	1	1	0	1	1	0	0
Slovenia	4	4	4	0	3	3	1	0
SouthAfrica	6	3	3	0	3	3	1	0
SouthKorea	13	7	7	0	7	7	2	5
Spain	163	85	85	0	45	48	10	2
SriLanka	4	2	2	0	1	1	0	0
Sweden	104	66	66	0	38	40	10	3
Switzerland	59	29	29	0	19	19	3	2
Taiwan	67	39	39	0	20	21	4	0
Thailand	38	17	17	0	10	11	2	0
Tianmen	1	1	1	0	1	1	1	1
tiger	1	0	0	0	0	0	0	0
Turkey	29	9	9	0	5	5	2	3
UnitedArabEmirates	25	18	18	0	17	17	4	2
USA	3658	1555	1555	0	910	926	134	164
Vietnam	19	9	9	0	4	3	1	1
Wales	576	96	96	0	46	43	8	6
Wuhan	29	15	15	0	5	6	1	1
Wuhan-Hu-1	1	0	0	0	0	0	0	0
Xinyu	2	1	1	0	1	1	0	0
Yunnan	2	2	2	0	1	1	1	0
Zhejiang	3	0	0	0	0	0	0	0
