# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+G and fixed tree topology
raxmlng,iqtree,raxml
-108301.205,-108301.200,-108451.252
-108304.233,-108304.227,-108455.653
-108309.620,-108309.615,-108458.406
-108310.545,-108310.574,-108463.134
-108311.639,-108311.595,-108462.559
-108313.618,-108313.588,-108462.410
-108315.182,-108315.178,-108465.025
-108317.247,-108317.243,-108467.372
-108317.517,-108317.542,-108467.208
-108318.689,-108318.646,-108467.555
-108319.151,-108319.174,-108471.782
-108319.324,-108319.295,-108470.687
-108319.860,-108319.856,-108469.707
-108319.984,-108320.010,-108472.071
-108321.208,-108321.204,-108472.021
-108321.762,-108321.734,-108472.329
-108322.152,-108322.146,-108472.830
-108324.250,-108324.245,-108478.571
-108326.603,-108326.541,-108477.391
-108329.330,-108329.326,-108479.516
-108330.160,-108330.155,-108479.859
-108330.296,-108330.291,-108478.936
-108330.396,-108330.376,-108481.341
-108330.509,-108330.540,-108482.474
-108331.257,-108331.282,-108482.940
-108331.537,-108331.512,-108481.089
-108332.187,-108332.183,-108483.899
-108333.836,-108333.787,-108485.517
-108335.046,-108335.041,-108485.740
-108335.990,-108335.965,-108485.817
-108337.571,-108337.567,-108487.702
-108338.861,-108338.832,-108490.091
-108339.430,-108339.425,-108489.501
-108343.290,-108343.285,-108491.887
-108343.293,-108343.288,-108492.898
-108346.676,-108346.671,-108498.436
-108345.751,-108345.690,-108496.396
-108347.138,-108347.134,-108496.648
-108347.575,-108347.571,-108497.964
-108348.790,-108348.785,-108499.047
-108348.828,-108348.823,-108500.584
-108349.032,-108349.013,-108498.301
-108349.064,-108349.059,-108498.545
-108349.839,-108349.835,-108499.653
-108349.983,-108349.978,-108498.809
-108351.531,-108351.526,-108500.740
-108351.952,-108351.948,-108501.467
-108352.267,-108352.261,-108502.745
-108352.273,-108352.268,-108501.399
-108352.692,-108352.668,-108502.519
-108352.844,-108352.824,-108502.544
-108353.962,-108353.942,-108504.335
-108354.311,-108354.283,-108503.871
-108356.023,-108356.018,-108507.952
-108356.319,-108356.333,-108505.776
-108356.551,-108356.531,-108506.258
-108357.048,-108357.044,-108507.100
-108357.593,-108357.573,-108507.452
-108357.601,-108357.525,-108509.964
-108357.634,-108357.573,-108507.120
-108365.533,-108365.528,-108516.184
-108366.344,-108366.340,-108518.503
-108365.908,-108365.848,-108515.346
-108367.465,-108367.460,-108517.008
-108367.676,-108367.671,-108517.559
-108367.793,-108367.788,-108517.251
-108367.580,-108367.519,-108518.349
-108368.791,-108368.786,-108519.591
-108369.677,-108369.672,-108520.149
-108372.843,-108372.823,-108523.410
-108373.038,-108373.033,-108523.678
-108380.770,-108380.750,-108530.918
-108381.412,-108381.407,-108531.159
-108381.986,-108381.981,-108532.971
-108383.602,-108383.541,-108535.461
-108385.089,-108385.083,-108533.690
-108387.268,-108387.263,-108536.126
-108388.548,-108388.543,-108532.268
-108390.117,-108390.113,-108540.729
-108392.228,-108392.259,-108542.993
-108395.386,-108395.412,-108546.115
-108396.426,-108396.421,-108547.359
-108396.504,-108396.499,-108546.736
-108399.710,-108399.705,-108551.411
-108400.729,-108400.724,-108554.185
-108403.770,-108403.765,-108555.722
-108408.082,-108408.077,-108558.060
-108412.263,-108412.258,-108561.468
-108414.421,-108414.416,-108567.558
-108360.131,-108360.126,-108510.023
-108343.513,-108343.508,-108493.399
-108371.051,-108371.043,-108522.452
-108315.536,-108315.484,-108467.376
-108306.998,-108307.022,-108456.738
-108392.423,-108392.388,-108541.854
-108378.740,-108378.735,-108530.255
-108294.761,-108294.700,-108445.475
-108385.195,-108385.134,-108535.543
-108339.347,-108339.342,-108489.936
-108310.001,-108309.997,-108461.791
