# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+GA and fixed tree topology
raxmlng,iqtree
-108302.292,-108302.311
-108305.345,-108305.334
-108310.746,-108310.736
-108311.615,-108311.604
-108312.710,-108312.661
-108314.706,-108314.702
-108316.262,-108316.282
-108318.339,-108318.363
-108318.620,-108318.644
-108319.780,-108319.731
-108320.244,-108320.269
-108320.423,-108320.388
-108321.014,-108321.003
-108321.055,-108321.079
-108322.284,-108322.308
-108322.845,-108322.811
-108323.234,-108323.223
-108325.351,-108325.340
-108327.688,-108327.651
-108330.414,-108330.403
-108331.318,-108331.335
-108331.410,-108331.398
-108331.456,-108331.461
-108331.608,-108331.598
-108332.342,-108332.332
-108332.609,-108332.613
-108333.286,-108333.275
-108334.887,-108334.832
-108336.102,-108336.092
-108337.111,-108337.080
-108338.652,-108338.676
-108339.939,-108339.904
-108340.531,-108340.550
-108344.336,-108344.326
-108344.379,-108344.367
-108347.740,-108347.730
-108346.877,-108346.810
-108348.255,-108348.245
-108348.654,-108348.644
-108349.861,-108349.850
-108349.950,-108349.940
-108350.128,-108350.132
-108350.145,-108350.134
-108350.951,-108350.970
-108351.110,-108351.133
-108352.654,-108352.672
-108353.085,-108353.074
-108353.340,-108353.359
-108353.360,-108353.378
-108353.766,-108353.736
-108353.968,-108353.941
-108355.047,-108355.051
-108355.410,-108355.376
-108357.133,-108357.122
-108357.431,-108357.435
-108357.672,-108357.676
-108358.136,-108358.126
-108358.659,-108358.633
-108358.682,-108358.629
-108358.771,-108358.703
-108366.631,-108366.651
-108367.426,-108367.445
-108367.013,-108366.975
-108368.581,-108368.599
-108368.736,-108368.725
-108368.879,-108368.868
-108368.653,-108368.617
-108369.889,-108369.908
-108370.727,-108370.747
-108373.942,-108373.946
-108374.134,-108374.123
-108381.839,-108381.814
-108382.467,-108382.456
-108383.018,-108383.039
-108384.689,-108384.621
-108386.150,-108386.139
-108388.375,-108388.365
-108389.610,-108389.631
-108391.210,-108391.230
-108393.369,-108393.359
-108396.466,-108396.455
-108397.480,-108397.501
-108397.594,-108397.584
-108400.787,-108400.776
-108401.804,-108401.793
-108404.824,-108404.812
-108409.144,-108409.164
-108413.366,-108413.392
-108415.533,-108415.522
-108361.228,-108361.217
-108344.600,-108344.619
-108372.153,-108372.143
-108316.657,-108316.575
-108308.117,-108308.107
-108393.503,-108393.461
-108379.834,-108379.824
-108295.882,-108295.815
-108386.266,-108386.229
-108340.403,-108340.398
-108311.091,-108311.081
