# this file contains the likelihood of all ML trees at the end of the raxml-ng run as
# well as the likelihood as evaluated by iqtree (with model & brlen optimization under
# fixed tree topology
raxmlng,iqtree
-108301.200,-108301.200
-108304.227,-108304.227
-108309.615,-108309.615
-108310.545,-108310.574
-108311.595,-108311.595
-108313.588,-108313.588
-108315.178,-108315.178
-108317.243,-108317.243
-108317.512,-108317.542
-108318.646,-108318.646
-108319.146,-108319.174
-108319.295,-108319.295
-108319.857,-108319.856
-108319.982,-108320.010
-108321.203,-108321.204
-108321.735,-108321.734
-108322.148,-108322.146
-108324.249,-108324.245
-108327.673,-108326.541
-108329.326,-108329.326
-108330.155,-108330.155
-108330.292,-108330.291
-108330.376,-108330.376
-108330.509,-108330.540
-108331.256,-108331.282
-108331.513,-108331.512
-108332.183,-108332.183
-108333.787,-108333.787
-108335.044,-108335.041
-108335.965,-108335.965
-108337.571,-108337.567
-108338.832,-108338.832
-108339.429,-108339.425
-108343.285,-108343.285
-108343.289,-108343.288
-108346.674,-108346.671
-108346.818,-108345.690
-108347.134,-108347.134
-108347.571,-108347.571
-108348.786,-108348.785
-108348.823,-108348.823
-108349.014,-108349.013
-108349.059,-108349.059
-108349.835,-108349.835
-108349.978,-108349.978
-108351.527,-108351.526
-108351.947,-108351.948
-108352.261,-108352.261
-108352.269,-108352.268
-108352.671,-108352.668
-108352.826,-108352.824
-108353.942,-108353.942
-108354.284,-108354.283
-108356.019,-108356.018
-108356.302,-108356.333
-108356.533,-108356.531
-108357.044,-108357.044
-108357.574,-108357.573
-108358.657,-108357.525
-108358.706,-108357.573
-108365.530,-108365.528
-108366.340,-108366.340
-108366.977,-108365.848
-108367.460,-108367.460
-108367.671,-108367.671
-108367.788,-108367.788
-108368.650,-108367.519
-108368.786,-108368.786
-108369.675,-108369.672
-108372.824,-108372.823
-108373.035,-108373.033
-108380.750,-108380.750
-108381.408,-108381.407
-108381.981,-108381.981
-108384.672,-108383.541
-108385.084,-108385.083
-108387.263,-108387.263
-108388.547,-108388.543
-108390.113,-108390.113
-108392.223,-108392.259
-108395.381,-108395.412
-108396.421,-108396.421
-108396.501,-108396.499
-108399.707,-108399.705
-108400.724,-108400.724
-108403.766,-108403.765
-108408.078,-108408.077
-108412.259,-108412.258
-108414.417,-108414.416
-inf,-108360.126
-inf,-108343.508
-inf,-108371.043
-inf,-108315.484
-inf,-108307.022
-inf,-108392.388
-inf,-108378.735
-inf,-108294.700
-inf,-108385.134
-inf,-108339.342
-inf,-108309.997
