blmin,blmax,blopt,lh_epsilon,llh
1e-1,100,nr_safe,0.1,-108301.200681
1e-2,100,nr_safe,0.1,-108301.200681
1e-3,100,nr_safe,0.1,-108301.200681
1e-4,100,nr_safe,0.1,-108301.200681
1e-5,100,nr_safe,0.1,-108301.219677
1e-6,100,nr_safe,0.1,-108301.205474
1e-7,100,nr_safe,0.1,-108301.200857
1e-8,100,nr_safe,0.1,-108301.200825
1e-9,100,nr_safe,0.1,-108301.200878
1e-10,100,nr_safe,0.1,-108301.064682
1e-6,1e1,nr_safe,0.1,-108301.205474
1e-6,1e2,nr_safe,0.1,-108301.205474
1e-6,1e3,nr_safe,0.1,-108301.205474
1e-6,1e4,nr_safe,0.1,-108301.205474
1e-6,1e5,nr_safe,0.1,-108301.205474
1e-6,1e6,nr_safe,0.1,-108301.205474
1e-6,100,nr_safe,0.1,-108301.205474
1e-6,100,nr_fast,0.1,NA
1e-6,100,nr_oldfast,0.1,NA
1e-6,100,nr_oldsafe,0.1,-108301.205474
1e-6,100,nr_safe,10,-108301.203052
1e-6,100,nr_safe,1,-108301.206524
1e-6,100,nr_safe,0.1,-108301.205474
1e-6,100,nr_safe,0.01,-108301.205474
1e-6,100,nr_safe,0.001,-108301.205089
1e-6,100,nr_safe,0.0001,-108301.205068
