# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+G and fixed tree topology
raxmlng,iqtree,raxml
-108281.866,-108281.854,-108432.442
-108283.216,-108283.187,-108432.959
-108297.962,-108297.942,-108448.727
-108300.930,-108300.885,-108450.232
-108302.134,-108302.114,-108451.704
-108303.109,-108303.090,-108453.973
-108303.198,-108303.194,-108453.043
-108304.017,-108304.012,-108453.581
-108307.181,-108307.097,-108457.945
-108310.500,-108310.495,-108460.179
-108312.406,-108312.346,-108464.764
-108313.937,-108313.932,-108463.685
-108315.757,-108315.753,-108466.650
-108315.991,-108315.989,-108465.910
-108316.736,-108316.731,-108468.078
-108318.610,-108318.598,-108470.288
-108319.859,-108319.839,-108470.054
-108320.623,-108320.619,-108471.074
-108323.882,-108323.878,-108474.362
-108322.872,-108322.813,-108473.731
-108325.039,-108325.011,-108474.841
-108326.059,-108326.054,-108476.694
-108327.041,-108327.036,-108476.780
-108328.821,-108328.817,-108478.396
-108328.990,-108328.971,-108479.015
-108329.387,-108329.407,-108480.136
-108329.598,-108329.570,-108478.596
-108330.274,-108330.254,-108480.166
-108330.753,-108330.749,-108480.390
-108332.717,-108332.688,-108484.206
-108332.844,-108332.839,-108483.349
-108335.622,-108335.627,-108485.568
-108335.970,-108335.965,-108485.055
-108338.210,-108338.234,-108489.545
-108338.937,-108338.935,-108492.238
-108339.413,-108339.408,-108490.146
-108339.714,-108339.670,-108490.154
-108340.048,-108340.043,-108491.750
-108341.036,-108341.008,-108491.743
-108342.927,-108342.922,-108494.832
-108342.576,-108342.515,-108494.005
-108344.314,-108344.303,-108494.133
-108344.550,-108344.546,-108494.445
-108345.041,-108345.037,-108495.138
-108344.192,-108344.131,-108494.678
-108345.840,-108345.820,-108497.304
-108348.020,-108348.015,-108497.047
-108348.132,-108348.160,-108499.382
-108348.166,-108348.162,-108499.030
-108348.918,-108348.913,-108499.229
-108348.969,-108348.964,-108502.206
-108348.597,-108348.535,-108501.724
-108350.443,-108350.438,-108499.715
-108352.075,-108352.070,-108502.981
-108352.232,-108352.230,-108503.153
-108352.237,-108352.233,-108503.412
-108352.834,-108352.830,-108504.107
-108353.180,-108353.175,-108503.588
-108355.826,-108355.821,-108504.878
-108356.535,-108356.530,-108506.199
-108356.799,-108356.794,-108506.038
-108357.007,-108356.982,-108508.456
-108357.347,-108357.342,-108507.981
-108358.723,-108358.695,-108508.504
-108359.222,-108359.217,-108513.131
-108358.276,-108358.215,-108509.433
-108359.391,-108359.365,-108508.316
-108359.885,-108359.881,-108510.430
-108360.095,-108360.090,-108508.511
-108360.509,-108360.504,-108512.066
-108362.915,-108362.910,-108513.573
-108364.068,-108364.063,-108513.753
-108365.752,-108365.747,-108516.461
-108366.458,-108366.488,-108516.093
-108366.988,-108366.967,-108516.768
-108367.146,-108367.142,-108518.072
-108368.023,-108368.003,-108516.595
-108370.111,-108370.106,-108522.902
-108371.237,-108371.233,-108523.699
-108373.090,-108373.085,-108523.978
-108375.142,-108375.138,-108524.574
-108375.978,-108375.938,-108518.805
-108376.636,-108376.632,-108527.689
-108378.473,-108378.468,-108529.523
-108379.646,-108379.642,-108529.347
-108381.959,-108381.955,-108533.146
-108386.404,-108386.400,-108537.656
-108387.356,-108387.351,-108537.209
-108389.168,-108389.164,-108540.742
-108390.598,-108390.594,-108540.956
-108392.458,-108392.453,-108542.091
-108394.268,-108394.291,-108544.806
-108395.983,-108395.979,-108550.485
-108400.749,-108400.729,-108551.384
-108402.862,-108402.856,-108553.831
-108405.711,-108405.707,-108556.319
-108407.528,-108407.467,-108559.250
-108412.407,-108412.441,-108563.679
-108417.216,-108417.189,-108566.354
-108434.684,-108434.709,-108587.394
