# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+GA and fixed tree topology
raxmlng,iqtree
-108282.990,-108282.973
-108284.330,-108284.295
-108299.082,-108299.090
-108302.065,-108301.983
-108303.233,-108303.207
-108304.211,-108304.186
-108304.321,-108304.311
-108305.106,-108305.096
-108308.306,-108308.215
-108311.571,-108311.591
-108313.461,-108313.395
-108315.036,-108315.055
-108316.884,-108316.873
-108317.105,-108317.094
-108317.808,-108317.827
-108319.706,-108319.688
-108320.984,-108320.958
-108321.718,-108321.736
-108324.932,-108324.956
-108323.979,-108323.912
-108326.122,-108326.118
-108327.135,-108327.124
-108328.117,-108328.136
-108329.913,-108329.901
-108330.116,-108330.090
-108330.481,-108330.504
-108330.672,-108330.637
-108331.381,-108331.355
-108331.849,-108331.839
-108333.805,-108333.771
-108333.920,-108333.909
-108336.685,-108336.654
-108337.057,-108337.046
-108339.282,-108339.301
-108340.023,-108340.043
-108340.507,-108340.525
-108340.823,-108340.773
-108341.144,-108341.137
-108342.151,-108342.117
-108344.005,-108343.994
-108343.680,-108343.644
-108345.374,-108345.387
-108345.658,-108345.647
-108346.161,-108346.150
-108345.326,-108345.289
-108346.951,-108346.931
-108349.085,-108349.074
-108349.219,-108349.239
-108349.265,-108349.254
-108350.024,-108350.013
-108350.043,-108350.062
-108349.672,-108349.605
-108351.522,-108351.541
-108353.163,-108353.152
-108353.328,-108353.317
-108353.300,-108353.290
-108353.939,-108353.958
-108354.254,-108354.272
-108356.923,-108356.942
-108357.617,-108357.606
-108357.864,-108357.883
-108358.089,-108358.089
-108358.463,-108358.452
-108359.801,-108359.767
-108360.303,-108360.323
-108359.370,-108359.333
-108360.457,-108360.425
-108361.007,-108360.997
-108361.179,-108361.168
-108361.600,-108361.619
-108364.029,-108364.049
-108365.133,-108365.153
-108366.857,-108366.846
-108367.548,-108367.538
-108368.057,-108368.067
-108368.244,-108368.234
-108369.139,-108369.112
-108371.207,-108371.226
-108372.325,-108372.314
-108374.188,-108374.178
-108376.243,-108376.232
-108377.075,-108377.029
-108377.725,-108377.720
-108379.548,-108379.538
-108380.696,-108380.686
-108383.062,-108383.052
-108387.511,-108387.501
-108388.420,-108388.410
-108390.255,-108390.279
-108391.723,-108391.713
-108393.560,-108393.579
-108395.387,-108395.376
-108397.069,-108397.089
-108401.869,-108401.873
-108403.971,-108403.964
-108406.781,-108406.770
-108408.639,-108408.602
-108413.498,-108413.487
-108418.305,-108418.301
-108435.766,-108435.785
