# this file contains the likelihood of all ML trees at the end of the raxml-ng run as
# well as the likelihood as evaluated by iqtree (with model & brlen optimization under
# fixed tree topology
raxmlng,iqtree
-108281.855,-108281.854
-108283.191,-108283.187
-108297.943,-108297.942
-108301.983,-108300.885
-108302.114,-108302.114
-108303.090,-108303.090
-108303.196,-108303.194
-108304.013,-108304.012
-108308.227,-108307.097
-108310.497,-108310.495
-108313.478,-108312.346
-108313.933,-108313.932
-108315.753,-108315.753
-108315.989,-108315.989
-108316.731,-108316.731
-108318.599,-108318.598
-108319.839,-108319.839
-108320.620,-108320.619
-108323.878,-108323.878
-108323.940,-108322.813
-108325.011,-108325.011
-108326.055,-108326.054
-108327.036,-108327.036
-108328.816,-108328.817
-108328.971,-108328.971
-108329.384,-108329.407
-108329.570,-108329.570
-108330.255,-108330.254
-108330.753,-108330.749
-108332.688,-108332.688
-108332.841,-108332.839
-108335.598,-108335.627
-108335.966,-108335.965
-108338.206,-108338.234
-108338.934,-108338.935
-108339.408,-108339.408
-108339.671,-108339.670
-108340.045,-108340.043
-108341.009,-108341.008
-108342.922,-108342.922
-108343.645,-108342.515
-108344.304,-108344.303
-108344.546,-108344.546
-108345.037,-108345.037
-108345.260,-108344.131
-108345.822,-108345.820
-108348.017,-108348.015
-108348.127,-108348.160
-108348.164,-108348.162
-108348.915,-108348.913
-108348.964,-108348.964
-108349.666,-108348.535
-108350.440,-108350.438
-108352.075,-108352.070
-108352.229,-108352.230
-108352.233,-108352.233
-108352.830,-108352.830
-108353.175,-108353.175
-108355.821,-108355.821
-108356.533,-108356.530
-108356.797,-108356.794
-108356.984,-108356.982
-108357.342,-108357.342
-108358.696,-108358.695
-108359.219,-108359.217
-108359.346,-108358.215
-108359.368,-108359.365
-108359.882,-108359.881
-108360.091,-108360.090
-108360.504,-108360.504
-108362.913,-108362.910
-108364.065,-108364.063
-108365.750,-108365.747
-108366.454,-108366.488
-108366.967,-108366.967
-108367.141,-108367.142
-108368.008,-108368.003
-108370.106,-108370.106
-108371.233,-108371.233
-108373.088,-108373.085
-108375.138,-108375.138
-108375.937,-108375.938
-108376.632,-108376.632
-108378.468,-108378.468
-108379.644,-108379.642
-108381.956,-108381.955
-108386.401,-108386.400
-108387.351,-108387.351
-108389.164,-108389.164
-108390.596,-108390.594
-108392.453,-108392.453
-108394.266,-108394.291
-108395.980,-108395.979
-108400.729,-108400.729
-108402.856,-108402.856
-108405.710,-108405.707
-108408.596,-108407.467
-108412.403,-108412.441
-108417.188,-108417.189
-108434.681,-108434.709
