blmin,blmax,blopt,lh_epsilon,llh
1e-1,100,nr_safe,0.1,-124450.676183
1e-2,100,nr_safe,0.1,-121646.957417
1e-3,100,nr_safe,0.1,-114771.290195
1e-4,100,nr_safe,0.1,-113495.604382
1e-5,100,nr_safe,0.1,-109688.160430
1e-6,100,nr_safe,0.1,-108431.639148
1e-7,100,nr_safe,0.1,-108296.800425
1e-8,100,nr_safe,0.1,-108283.214838
1e-9,100,nr_safe,0.1,-108281.855243
1e-10,100,nr_safe,0.1,-108281.719270
1e-6,1e1,nr_safe,0.1,-108431.639148
1e-6,1e2,nr_safe,0.1,-108431.639148
1e-6,1e3,nr_safe,0.1,-108431.639148
1e-6,1e4,nr_safe,0.1,-108431.639148
1e-6,1e5,nr_safe,0.1,-108431.639148
1e-6,1e6,nr_safe,0.1,-108431.639148
1e-6,100,nr_safe,0.1,-108431.639148
1e-6,100,nr_fast,0.1,-108431.639148
1e-6,100,nr_oldfast,0.1,-108431.639967
1e-6,100,nr_oldsafe,0.1,-108431.639967
1e-6,100,nr_safe,10,-108431.632626
1e-6,100,nr_safe,1,-108431.639636
1e-6,100,nr_safe,0.1,-108431.639148
1e-6,100,nr_safe,0.01,-108431.639217
1e-6,100,nr_safe,0.001,-108431.639217
1e-6,100,nr_safe,0.0001,-108431.637801
