# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+G and fixed tree topology
raxmlng,iqtree,raxml
-63616.931,-63547.518,-63616.952
-63621.375,-63551.998,-70887.919
-63628.050,-63558.909,-70893.854
-63632.659,-63563.396,-70898.526
-63636.151,-63566.831,-70900.939
-63636.842,-63567.705,-70902.427
-63643.732,-63574.567,-70908.126
-63647.230,-63578.004,-70912.741
-63649.835,-63580.498,-70915.394
-63649.719,-63580.568,-70915.240
-63651.700,-63582.515,-70918.019
-63654.939,-63585.774,-70920.191
-63655.511,-63586.310,-70920.750
-63656.036,-63586.803,-70921.008
-63662.707,-63593.481,-70926.620
-63663.030,-63593.969,-70928.480
-63663.523,-63594.242,-70928.600
-63664.678,-63595.371,-70929.818
-63665.638,-63596.454,-70931.526
-63667.272,-63598.275,-70932.237
-63667.616,-63598.555,-70931.775
-63671.448,-63602.282,-70937.910
-63672.648,-63603.410,-70938.034
-63673.643,-63604.360,-70939.844
-63673.760,-63604.724,-70939.148
-63674.099,-63604.904,-70939.951
-63674.781,-63605.597,-70940.498
-63675.376,-63606.102,-70937.958
-63675.373,-63606.264,-70939.666
-63678.459,-63609.228,-70943.305
-63678.418,-63609.283,-70944.212
-63679.009,-63609.770,-70943.078
-63680.245,-63610.936,-70944.780
-63680.199,-63610.997,-70945.708
-63683.097,-63613.959,-70948.284
-63683.401,-63614.205,-70947.769
-63683.970,-63614.748,-70947.580
-63683.789,-63614.756,-70948.320
-63684.481,-63615.304,-70950.883
-63685.559,-63616.617,-70951.808
-63686.948,-63617.757,-70951.547
-63687.740,-63618.622,-70952.697
-63689.052,-63619.896,-70951.832
-63689.491,-63620.218,-70953.861
-63689.635,-63620.421,-70954.863
-63691.580,-63622.292,-70955.949
-63692.247,-63623.007,-70958.087
-63693.973,-63624.892,-70959.807
-63693.968,-63624.964,-70959.928
-63694.225,-63625.138,-70959.844
-63694.536,-63625.225,-70959.298
-63694.938,-63625.823,-70961.278
-63696.045,-63626.852,-70961.783
-63697.113,-63627.933,-70961.890
-63697.418,-63628.173,-70961.029
-63697.625,-63628.479,-70963.069
-63698.033,-63628.906,-70962.618
-63698.699,-63629.642,-70963.810
-63701.465,-63632.332,-70967.227
-63702.790,-63633.563,-70968.013
-63703.696,-63634.397,-70969.602
-63704.200,-63635.003,-70969.532
-63705.389,-63636.226,-70971.540
-63707.210,-63638.130,-70972.922
-63707.913,-63638.670,-70972.601
-63710.608,-63641.425,-70976.918
-63710.859,-63641.704,-70977.563
-63712.102,-63642.787,-70977.172
-63713.921,-63644.724,-70978.477
-63713.720,-63644.729,-70979.420
-63714.448,-63645.296,-70979.128
-63714.373,-63645.306,-70980.120
-63715.828,-63646.559,-70981.653
-63715.991,-63646.836,-70981.620
-63716.880,-63647.864,-70982.633
-63720.259,-63651.139,-70986.772
-63721.375,-63652.181,-70986.852
-63722.184,-63653.149,-70989.066
-63724.210,-63655.084,-70990.314
-63724.355,-63655.235,-70990.297
-63725.962,-63656.836,-70991.804
-63726.544,-63657.527,-70992.743
-63727.778,-63658.650,-70991.431
-63728.556,-63659.521,-70994.552
-63729.495,-63660.478,-70995.266
-63730.896,-63661.741,-70997.490
-63731.582,-63662.609,-70998.060
-63732.996,-63663.753,-70999.771
-63734.708,-63665.546,-71001.659
-63735.180,-63666.078,-71001.364
-63740.506,-63671.512,-71008.080
-63744.184,-63675.344,-71011.198
-63746.136,-63676.966,-71013.049
-63751.596,-63682.429,-71017.142
-63756.463,-63687.382,-71024.449
-63760.280,-63691.337,-71027.106
-63778.176,-63709.186,-71046.812
-63781.798,-63712.827,-71047.834
-63797.000,-63728.073,-71067.488
-63797.645,-63728.690,-71066.656
