# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+GA and fixed tree topology
raxmlng,iqtree
-63616.931,-63547.518
-63621.374,-63551.998
-63628.050,-63558.908
-63632.660,-63563.396
-63636.152,-63566.831
-63636.843,-63567.704
-63643.733,-63574.566
-63647.231,-63578.004
-63649.836,-63580.498
-63649.719,-63580.568
-63651.694,-63582.514
-63654.939,-63585.773
-63655.511,-63586.310
-63656.036,-63586.802
-63662.708,-63593.481
-63663.031,-63593.969
-63663.523,-63594.241
-63664.677,-63595.370
-63665.637,-63596.453
-63667.272,-63598.274
-63667.617,-63598.555
-63671.440,-63602.282
-63672.649,-63603.410
-63673.644,-63604.360
-63673.761,-63604.723
-63674.099,-63604.904
-63674.789,-63605.596
-63675.383,-63606.101
-63675.373,-63606.263
-63678.466,-63609.228
-63678.417,-63609.283
-63679.009,-63609.770
-63680.245,-63610.935
-63680.206,-63610.996
-63683.098,-63613.959
-63683.402,-63614.204
-63683.964,-63614.747
-63683.790,-63614.755
-63684.482,-63615.304
-63685.560,-63616.616
-63686.949,-63617.757
-63687.741,-63618.622
-63689.046,-63619.895
-63689.491,-63620.218
-63689.635,-63620.420
-63691.579,-63622.291
-63692.248,-63623.007
-63693.973,-63624.892
-63693.968,-63624.964
-63694.224,-63625.138
-63694.536,-63625.224
-63694.938,-63625.823
-63696.042,-63626.851
-63697.114,-63627.932
-63697.418,-63628.172
-63697.625,-63628.478
-63698.034,-63628.906
-63698.700,-63629.642
-63701.467,-63632.332
-63702.791,-63633.562
-63703.697,-63634.396
-63704.201,-63635.002
-63705.382,-63636.226
-63707.210,-63638.130
-63707.921,-63638.669
-63710.608,-63641.425
-63710.850,-63641.703
-63712.102,-63642.787
-63713.921,-63644.724
-63713.721,-63644.729
-63714.448,-63645.295
-63714.374,-63645.306
-63715.828,-63646.558
-63715.991,-63646.836
-63716.880,-63647.864
-63720.258,-63651.138
-63721.376,-63652.180
-63722.191,-63653.148
-63724.215,-63655.084
-63724.363,-63655.235
-63725.962,-63656.835
-63726.544,-63657.527
-63727.778,-63658.650
-63728.556,-63659.521
-63729.495,-63660.478
-63730.896,-63661.740
-63731.583,-63662.609
-63732.996,-63663.753
-63734.708,-63665.545
-63735.181,-63666.077
-63740.506,-63671.511
-63744.184,-63675.344
-63746.129,-63676.965
-63751.597,-63682.428
-63756.462,-63687.381
-63760.282,-63691.337
-63778.176,-63709.186
-63781.798,-63712.827
-63797.000,-63728.073
-63797.646,-63728.690
