# this file contains the likelihood of all ML trees at the end of the raxml-ng run as
# well as the likelihood as evaluated by iqtree (with model & brlen optimization under
# fixed tree topology
raxmlng,iqtree
-63547.519,-63547.518
-63551.998,-63551.998
-63558.913,-63558.909
-63563.396,-63563.396
-63566.832,-63566.831
-63567.705,-63567.705
-63574.567,-63574.567
-63578.015,-63578.004
-63580.499,-63580.498
-63580.569,-63580.568
-63582.516,-63582.515
-63585.776,-63585.774
-63586.311,-63586.310
-63586.804,-63586.803
-63593.481,-63593.481
-63593.972,-63593.969
-63594.241,-63594.242
-63595.372,-63595.371
-63596.454,-63596.454
-63598.275,-63598.275
-63598.557,-63598.555
-63602.283,-63602.282
-63603.411,-63603.410
-63604.363,-63604.360
-63604.724,-63604.724
-63604.904,-63604.904
-63605.597,-63605.597
-63606.102,-63606.102
-63606.264,-63606.264
-63609.230,-63609.228
-63609.284,-63609.283
-63609.770,-63609.770
-63610.936,-63610.936
-63610.997,-63610.997
-63613.961,-63613.959
-63614.210,-63614.205
-63614.748,-63614.748
-63614.755,-63614.756
-63615.308,-63615.304
-63616.617,-63616.617
-63617.757,-63617.757
-63618.622,-63618.622
-63619.896,-63619.896
-63620.219,-63620.218
-63620.421,-63620.421
-63622.292,-63622.292
-63623.009,-63623.007
-63624.894,-63624.892
-63624.964,-63624.964
-63625.139,-63625.138
-63625.225,-63625.225
-63625.823,-63625.823
-63626.857,-63626.852
-63627.933,-63627.933
-63628.177,-63628.173
-63628.479,-63628.479
-63628.906,-63628.906
-63629.642,-63629.642
-63632.332,-63632.332
-63633.563,-63633.563
-63634.397,-63634.397
-63635.003,-63635.003
-63636.226,-63636.226
-63638.131,-63638.130
-63638.672,-63638.670
-63641.426,-63641.425
-63641.705,-63641.704
-63642.787,-63642.787
-63644.724,-63644.724
-63644.729,-63644.729
-63645.298,-63645.296
-63645.309,-63645.306
-63646.564,-63646.559
-63646.838,-63646.836
-63647.867,-63647.864
-63651.142,-63651.139
-63652.181,-63652.181
-63653.149,-63653.149
-63655.085,-63655.084
-63655.235,-63655.235
-63656.836,-63656.836
-63657.528,-63657.527
-63658.650,-63658.650
-63659.523,-63659.521
-63660.479,-63660.478
-63661.741,-63661.741
-63662.610,-63662.609
-63663.755,-63663.753
-63665.546,-63665.546
-63666.078,-63666.078
-63671.512,-63671.512
-63675.344,-63675.344
-63676.966,-63676.966
-63682.429,-63682.429
-63687.382,-63687.382
-63691.337,-63691.337
-63709.186,-63709.186
-63712.828,-63712.827
-63728.074,-63728.073
-63728.693,-63728.690
