blmin,blmax,blopt,lh_epsilon,llh
1e-1,100,nr_safe,0.1,-75372.589490
1e-2,100,nr_safe,0.1,-68799.321255
1e-3,100,nr_safe,0.1,-67832.213754
1e-4,100,nr_safe,0.1,-67714.153693
1e-5,100,nr_safe,0.1,-64198.906628
1e-6,100,nr_safe,0.1,-63616.930917
1e-7,100,nr_safe,0.1,-63554.444244
1e-8,100,nr_safe,0.1,-63548.149280
1e-9,100,nr_safe,0.1,-63547.519304
1e-10,100,nr_safe,0.1,-63547.456305
1e-6,1e1,nr_safe,0.1,-63616.930917
1e-6,1e2,nr_safe,0.1,-63616.930917
1e-6,1e3,nr_safe,0.1,-63616.930917
1e-6,1e4,nr_safe,0.1,-63616.930917
1e-6,1e5,nr_safe,0.1,-63616.930917
1e-6,1e6,nr_safe,0.1,-63616.930917
1e-6,100,nr_safe,0.1,-63616.930917
1e-6,100,nr_fast,0.1,-63616.930917
1e-6,100,nr_oldfast,0.1,-63616.932800
1e-6,100,nr_oldsafe,0.1,-63616.932800
1e-6,100,nr_safe,10,-63616.937694
1e-6,100,nr_safe,1,-63616.930600
1e-6,100,nr_safe,0.1,-63616.930917
1e-6,100,nr_safe,0.01,-63616.930599
1e-6,100,nr_safe,0.001,-63616.930697
1e-6,100,nr_safe,0.0001,-63616.930644
