# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+G and fixed tree topology
raxmlng,iqtree,raxml
-61750.390,-61683.604,-61749.581
-61751.477,-61684.708,-68392.758
-61762.083,-61695.270,-68403.010
-61763.626,-61696.878,-68402.491
-61764.228,-61697.395,-68403.435
-61767.721,-61700.987,-68407.322
-61769.012,-61702.224,-68408.862
-61769.849,-61703.151,-68408.703
-61770.836,-61703.961,-68409.385
-61771.161,-61704.319,-68410.717
-61771.502,-61704.772,-68411.863
-61771.627,-61704.808,-68410.324
-61772.627,-61706.055,-68412.956
-61773.884,-61707.230,-68414.010
-61774.110,-61707.239,-68410.632
-61775.004,-61708.186,-68414.497
-61776.330,-61709.494,-68415.102
-61777.302,-61710.592,-68416.732
-61781.402,-61714.676,-68421.643
-61782.430,-61715.789,-68422.381
-61782.739,-61716.078,-68422.617
-61783.571,-61716.857,-68421.701
-61788.035,-61721.316,-68426.613
-61791.004,-61724.259,-68430.285
-61791.644,-61724.900,-68430.187
-61792.676,-61725.831,-68432.137
-61792.775,-61725.938,-68431.104
-61793.499,-61726.638,-68432.308
-61796.957,-61730.240,-68436.260
-61797.569,-61730.912,-68437.263
-61800.216,-61733.508,-68440.397
-61801.043,-61734.248,-68440.224
-61800.938,-61734.261,-68441.712
-61801.382,-61734.670,-68441.510
-61803.139,-61736.477,-68443.158
-61803.834,-61737.185,-68444.234
-61804.097,-61737.518,-68444.430
-61805.314,-61738.595,-68445.358
-61806.212,-61739.409,-68446.029
-61806.412,-61739.775,-68446.827
-61807.755,-61741.109,-68447.680
-61808.455,-61741.912,-68448.827
-61808.559,-61741.931,-68447.259
-61809.017,-61742.139,-68449.080
-61809.040,-61742.217,-68448.275
-61809.257,-61742.574,-68447.320
-61810.020,-61743.318,-68449.901
-61811.991,-61745.385,-68451.576
-61812.638,-61745.943,-68450.757
-61812.792,-61746.220,-68453.282
-61813.771,-61747.032,-68453.596
-61814.186,-61747.465,-68453.904
-61814.869,-61748.232,-68454.345
-61815.176,-61748.577,-68455.106
-61815.597,-61748.981,-68454.942
-61815.791,-61749.142,-68456.653
-61816.948,-61750.151,-68456.745
-61818.537,-61751.844,-68458.597
-61818.826,-61752.208,-68458.756
-61819.787,-61753.101,-68461.131
-61819.843,-61753.170,-68459.009
-61820.599,-61753.858,-68460.704
-61820.552,-61753.884,-68459.952
-61820.689,-61754.088,-68459.561
-61821.169,-61754.727,-68462.231
-61823.771,-61757.128,-68463.807
-61824.459,-61757.764,-68464.022
-61824.352,-61757.789,-68463.881
-61824.360,-61757.803,-68464.347
-61826.788,-61760.258,-68466.431
-61828.041,-61761.399,-68466.592
-61828.711,-61762.150,-68469.241
-61830.390,-61763.785,-68471.616
-61830.715,-61763.947,-68470.654
-61830.878,-61764.367,-68471.004
-61833.819,-61767.149,-68473.588
-61834.571,-61768.035,-68476.093
-61836.167,-61769.615,-68476.868
-61836.997,-61770.444,-68477.432
-61837.958,-61771.274,-68475.590
-61838.402,-61771.864,-68479.148
-61843.392,-61776.944,-68484.333
-61845.905,-61779.226,-68485.272
-61848.704,-61782.071,-68489.755
-61850.201,-61783.596,-68490.824
-61851.585,-61784.992,-68492.845
-61853.803,-61787.239,-68493.758
-61854.138,-61787.614,-68494.683
-61854.606,-61788.138,-68495.400
-61855.689,-61790.176,-68496.363
-61859.923,-61793.219,-68499.313
-61859.991,-61793.409,-68501.189
-61860.146,-61793.562,-68501.429
-61862.215,-61795.552,-68502.829
-61866.538,-61800.106,-68508.492
-61867.491,-61800.893,-68507.103
-61873.205,-61806.577,-68515.529
-61876.605,-61810.065,-68518.045
-61886.179,-61819.587,-68528.583
-61890.547,-61824.177,-68532.853
