# this file contains the likelihood of all ML trees optimized and evaluated
# under GTR+F0+GA and fixed tree topology
raxmlng,iqtree
-61750.389,-61683.604
-61751.477,-61684.708
-61762.083,-61695.269
-61763.625,-61696.878
-61764.228,-61697.394
-61767.721,-61700.987
-61769.012,-61702.223
-61769.849,-61703.151
-61770.835,-61703.961
-61771.160,-61704.319
-61771.502,-61704.772
-61771.627,-61704.808
-61772.627,-61706.055
-61773.883,-61707.230
-61774.110,-61707.239
-61775.004,-61708.186
-61776.330,-61709.493
-61777.301,-61710.591
-61781.402,-61714.675
-61782.430,-61715.789
-61782.739,-61716.078
-61783.571,-61716.857
-61788.035,-61721.316
-61791.004,-61724.258
-61791.643,-61724.899
-61792.676,-61725.830
-61792.775,-61725.938
-61793.499,-61726.638
-61796.957,-61730.240
-61797.569,-61730.912
-61800.216,-61733.508
-61801.043,-61734.248
-61800.938,-61734.260
-61801.382,-61734.670
-61803.139,-61736.477
-61803.834,-61737.185
-61804.097,-61737.518
-61805.313,-61738.595
-61806.212,-61739.409
-61806.412,-61739.775
-61807.755,-61741.108
-61808.455,-61741.912
-61808.559,-61741.931
-61809.017,-61742.138
-61809.040,-61742.217
-61809.255,-61742.574
-61810.020,-61743.318
-61811.991,-61745.385
-61812.638,-61745.943
-61812.792,-61746.219
-61813.771,-61747.031
-61814.186,-61747.465
-61814.869,-61748.231
-61815.176,-61748.577
-61815.597,-61748.981
-61815.790,-61749.142
-61816.947,-61750.151
-61818.537,-61751.843
-61818.826,-61752.208
-61819.787,-61753.101
-61819.843,-61753.170
-61820.599,-61753.857
-61820.552,-61753.884
-61820.691,-61754.088
-61821.168,-61754.727
-61823.771,-61757.127
-61824.459,-61757.764
-61824.351,-61757.789
-61824.360,-61757.803
-61826.788,-61760.257
-61828.041,-61761.399
-61828.711,-61762.150
-61830.390,-61763.785
-61830.715,-61763.946
-61830.878,-61764.366
-61833.819,-61767.149
-61834.571,-61768.035
-61836.167,-61769.615
-61836.997,-61770.444
-61837.955,-61771.274
-61838.402,-61771.864
-61843.392,-61776.944
-61845.905,-61779.226
-61848.704,-61782.070
-61850.201,-61783.596
-61851.585,-61784.992
-61853.805,-61787.238
-61854.138,-61787.614
-61854.606,-61788.138
-61855.687,-61790.176
-61859.922,-61793.219
-61859.991,-61793.409
-61860.146,-61793.561
-61862.215,-61795.552
-61866.537,-61800.106
-61867.490,-61800.893
-61873.205,-61806.576
-61876.605,-61810.064
-61886.179,-61819.587
-61890.547,-61824.177
