# this file contains the likelihood of all ML trees at the end of the raxml-ng run as
# well as the likelihood as evaluated by iqtree (with model & brlen optimization under
# fixed tree topology
raxmlng,iqtree
-61683.605,-61683.604
-61684.708,-61684.708
-61695.270,-61695.270
-61696.878,-61696.878
-61697.395,-61697.395
-61700.991,-61700.987
-61702.224,-61702.224
-61703.151,-61703.151
-61703.961,-61703.961
-61704.320,-61704.319
-61704.772,-61704.772
-61704.809,-61704.808
-61706.055,-61706.055
-61707.230,-61707.230
-61707.240,-61707.239
-61708.187,-61708.186
-61709.494,-61709.494
-61710.592,-61710.592
-61714.679,-61714.676
-61715.789,-61715.789
-61716.079,-61716.078
-61716.857,-61716.857
-61721.316,-61721.316
-61724.260,-61724.259
-61724.900,-61724.900
-61725.834,-61725.831
-61725.940,-61725.938
-61726.640,-61726.638
-61730.241,-61730.240
-61730.915,-61730.912
-61733.510,-61733.508
-61734.249,-61734.248
-61734.260,-61734.261
-61734.671,-61734.670
-61736.477,-61736.477
-61737.185,-61737.185
-61737.518,-61737.518
-61738.596,-61738.595
-61739.409,-61739.409
-61739.775,-61739.775
-61741.109,-61741.109
-61741.914,-61741.912
-61741.932,-61741.931
-61742.139,-61742.139
-61742.219,-61742.217
-61742.574,-61742.574
-61743.319,-61743.318
-61745.385,-61745.385
-61745.943,-61745.943
-61746.220,-61746.220
-61747.033,-61747.032
-61747.466,-61747.465
-61748.234,-61748.232
-61748.580,-61748.577
-61748.981,-61748.981
-61749.150,-61749.142
-61750.151,-61750.151
-61751.845,-61751.844
-61752.208,-61752.208
-61753.102,-61753.101
-61753.170,-61753.170
-61753.863,-61753.858
-61753.886,-61753.884
-61754.088,-61754.088
-61754.727,-61754.727
-61757.128,-61757.128
-61757.764,-61757.764
-61757.789,-61757.789
-61757.803,-61757.803
-61760.260,-61760.258
-61761.399,-61761.399
-61762.152,-61762.150
-61763.786,-61763.785
-61763.947,-61763.947
-61764.368,-61764.367
-61767.152,-61767.149
-61768.036,-61768.035
-61769.616,-61769.615
-61770.445,-61770.444
-61771.274,-61771.274
-61771.864,-61771.864
-61776.946,-61776.944
-61779.231,-61779.226
-61782.074,-61782.071
-61783.596,-61783.596
-61784.992,-61784.992
-61787.239,-61787.239
-61787.615,-61787.614
-61788.138,-61788.138
-61790.177,-61790.176
-61793.221,-61793.219
-61793.409,-61793.409
-61793.563,-61793.562
-61795.555,-61795.552
-61800.106,-61800.106
-61800.894,-61800.893
-61806.577,-61806.577
-61810.066,-61810.065
-61819.588,-61819.587
-61824.177,-61824.177
