Sample	Lineage
HCOV-19_ALGERIA_20200302_EPI_ISL_418241	B.1
HCOV-19_ALGERIA_20200302_EPI_ISL_420037	B.1
HCOV-19_ALGERIA_20200308_EPI_ISL_418242	B.1
HCOV-19_ARGENTINA_20200301_EPI_ISL_430793	B.1
HCOV-19_ARGENTINA_20200322_EPI_ISL_420598	B.1
HCOV-19_ARGENTINA_20200327_EPI_ISL_430796	B.1
HCOV-19_ARGENTINA_20200331_EPI_ISL_430802	B.1
HCOV-19_ARGENTINA_20200401_EPI_ISL_430803	B.1
HCOV-19_ARGENTINA_20200402_EPI_ISL_430807	B.1
HCOV-19_ARGENTINA_20200403_EPI_ISL_430808	B.1
HCOV-19_ARGENTINA_20200404_EPI_ISL_430809	B.1
HCOV-19_ARGENTINA_20200407_EPI_ISL_430810	B.1
HCOV-19_ARGENTINA_20200411_EPI_ISL_430811	B.1
HCOV-19_ARGENTINA_20200411_EPI_ISL_430812	B.1
HCOV-19_ARGENTINA_20200417_EPI_ISL_430814	B.1
HCOV-19_ARGENTINA_20200418_EPI_ISL_430815	B.1
HCOV-19_ARGENTINA_20200418_EPI_ISL_430816	B.1
HCOV-19_ARGENTINA_20200418_EPI_ISL_430817	B.1
HCOV-19_AUSTRALIA_20200122_EPI_ISL_408976	B.11
HCOV-19_AUSTRALIA_20200124_EPI_ISL_417030	A
HCOV-19_AUSTRALIA_20200128_EPI_ISL_407894	A
HCOV-19_AUSTRALIA_20200130_EPI_ISL_407896	A
HCOV-19_AUSTRALIA_20200205_EPI_ISL_410717	A
HCOV-19_AUSTRALIA_20200223_EPI_ISL_419834	A.5
HCOV-19_AUSTRALIA_20200228_EPI_ISL_413594	B.11
HCOV-19_AUSTRALIA_20200228_EPI_ISL_413595	B.4
HCOV-19_AUSTRALIA_20200228_EPI_ISL_413596	B.11
HCOV-19_AUSTRALIA_20200228_EPI_ISL_418799	B.11
HCOV-19_AUSTRALIA_20200228_EPI_ISL_427643	B.11
HCOV-19_AUSTRALIA_20200229_EPI_ISL_414414	B.4
HCOV-19_AUSTRALIA_20200302_EPI_ISL_413597	B.4
HCOV-19_AUSTRALIA_20200302_EPI_ISL_416412	B.4
HCOV-19_AUSTRALIA_20200303_EPI_ISL_413600	B.4
HCOV-19_AUSTRALIA_20200303_EPI_ISL_417383	B.4
HCOV-19_AUSTRALIA_20200303_EPI_ISL_427649	B.4
HCOV-19_AUSTRALIA_20200304_EPI_ISL_413599	B.4
HCOV-19_AUSTRALIA_20200304_EPI_ISL_417386	B.4
HCOV-19_AUSTRALIA_20200304_EPI_ISL_420534	B.1
HCOV-19_AUSTRALIA_20200304_EPI_ISL_427646	B.4
HCOV-19_AUSTRALIA_20200305_EPI_ISL_417384	B.4
HCOV-19_AUSTRALIA_20200305_EPI_ISL_417388	B.6
HCOV-19_AUSTRALIA_20200305_EPI_ISL_427645	B.4
HCOV-19_AUSTRALIA_20200306_EPI_ISL_417385	B.4
HCOV-19_AUSTRALIA_20200306_EPI_ISL_417387	B.4
HCOV-19_AUSTRALIA_20200306_EPI_ISL_427654	B.4
HCOV-19_AUSTRALIA_20200308_EPI_ISL_417390	B.1
HCOV-19_AUSTRALIA_20200308_EPI_ISL_417391	B.4
HCOV-19_AUSTRALIA_20200308_EPI_ISL_417393	B.4
HCOV-19_AUSTRALIA_20200309_EPI_ISL_417389	B.4
HCOV-19_AUSTRALIA_20200309_EPI_ISL_419740	B.2
HCOV-19_AUSTRALIA_20200309_EPI_ISL_419743	B.2
HCOV-19_AUSTRALIA_20200310_EPI_ISL_417392	B.4
HCOV-19_AUSTRALIA_20200310_EPI_ISL_417394	B.2
HCOV-19_AUSTRALIA_20200310_EPI_ISL_417396	B.6
HCOV-19_AUSTRALIA_20200310_EPI_ISL_419747	A.3
HCOV-19_AUSTRALIA_20200310_EPI_ISL_419748	B.1
HCOV-19_AUSTRALIA_20200310_EPI_ISL_419753	B.4
HCOV-19_AUSTRALIA_20200310_EPI_ISL_419765	B.2
HCOV-19_AUSTRALIA_20200310_EPI_ISL_427658	B.3
HCOV-19_AUSTRALIA_20200311_EPI_ISL_417033	B.6
HCOV-19_AUSTRALIA_20200311_EPI_ISL_417398	B.4
HCOV-19_AUSTRALIA_20200311_EPI_ISL_419757	B.1
HCOV-19_AUSTRALIA_20200311_EPI_ISL_419760	A.1
HCOV-19_AUSTRALIA_20200311_EPI_ISL_419767	B.1
HCOV-19_AUSTRALIA_20200311_EPI_ISL_427655	B.4
HCOV-19_AUSTRALIA_20200311_EPI_ISL_427665	B.3
HCOV-19_AUSTRALIA_20200312_EPI_ISL_419768	B.1
HCOV-19_AUSTRALIA_20200312_EPI_ISL_419779	A.1
HCOV-19_AUSTRALIA_20200312_EPI_ISL_419826	A.3
HCOV-19_AUSTRALIA_20200313_EPI_ISL_419771	B.6
HCOV-19_AUSTRALIA_20200313_EPI_ISL_419780	B.4
HCOV-19_AUSTRALIA_20200313_EPI_ISL_419782	A.1
HCOV-19_AUSTRALIA_20200313_EPI_ISL_419786	B.2
HCOV-19_AUSTRALIA_20200313_EPI_ISL_420537	B.2
HCOV-19_AUSTRALIA_20200314_EPI_ISL_419791	B.2
HCOV-19_AUSTRALIA_20200314_EPI_ISL_420538	A.1
HCOV-19_AUSTRALIA_20200315_EPI_ISL_416514	A.1
HCOV-19_AUSTRALIA_20200315_EPI_ISL_419801	B.1
HCOV-19_AUSTRALIA_20200315_EPI_ISL_420536	A.1
HCOV-19_AUSTRALIA_20200316_EPI_ISL_417409	B.2
HCOV-19_AUSTRALIA_20200316_EPI_ISL_427702	B.2
HCOV-19_AUSTRALIA_20200316_EPI_ISL_427718	B.2
HCOV-19_AUSTRALIA_20200317_EPI_ISL_417408	B.2
HCOV-19_AUSTRALIA_20200317_EPI_ISL_417411	B.1
